2020-02-19/16:39:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:28		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:29		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:30		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:39:31		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:10		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:10		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:10		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:11		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:12		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:13		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:14		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:15		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:16		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:17		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:18		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:19		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
2020-02-19/16:50:20		 creditCardFraud_021119920_010222.csv: File loaded successfully!!
